%% -------------------- Weather data for AquaCrop-OS ------------------- %%
Day       Month     Year      Tmin(C)        Tmax(C)        Prcp(mm)       Et0(mm)        
30        7         2007      18.94          30.09          1.27           4.50           
31        7         2007      17.95          30.55          0.00           4.21           
1         8         2007      17.50          31.66          0.00           4.33           
2         8         2007      15.99          28.79          0.00           3.32           
3         8         2007      19.21          31.21          0.00           5.66           
4         8         2007      17.89          34.42          0.00           5.39           
5         8         2007      20.06          34.03          0.00           5.55           
6         8         2007      18.08          31.99          7.87           4.21           
7         8         2007      17.95          30.09          3.81           4.72           
8         8         2007      16.12          33.44          3.56           5.24           
9         8         2007      14.74          35.15          0.00           5.55           
10        8         2007      15.40          35.94          0.00           6.37           
11        8         2007      15.99          32.72          0.00           5.27           
12        8         2007      17.70          32.26          3.30           3.58           
13        8         2007      18.55          37.18          0.00           5.13           
14        8         2007      16.39          38.22          0.00           6.05           
15        8         2007      18.28          33.18          0.00           4.54           
16        8         2007      16.59          29.88          2.29           4.49           
17        8         2007      19.07          31.34          0.00           4.30           
18        8         2007      17.62          35.61          0.00           5.94           
19        8         2007      16.32          35.99          0.00           5.37           
20        8         2007      13.69          37.38          0.00           6.38           
21        8         2007      13.82          35.80          0.00           5.39           
22        8         2007      16.64          28.57          3.05           2.21           
23        8         2007      13.03          24.37          3.05           2.94           
24        8         2007      11.92          25.82          2.29           2.86           
25        8         2007      13.62          27.73          0.00           3.46           
26        8         2007      16.83          36.65          0.00           5.38           
27        8         2007      14.61          36.77          0.00           6.06           
28        8         2007      18.74          30.94          0.00           4.68           
29        8         2007      15.00          23.21          0.25           2.09           
30        8         2007      14.08          28.98          0.00           3.93           
31        8         2007      10.93          33.18          0.00           5.56           
1         9         2007      16.52          34.23          0.00           6.17           
2         9         2007      13.49          35.35          0.00           5.32           
3         9         2007      11.72          36.07          0.00           6.24           
4         9         2007      9.61           34.56          0.00           6.27           
5         9         2007      12.76          34.89          0.00           5.37           
6         9         2007      11.59          32.06          0.00           4.64           
7         9         2007      10.01          28.32          0.00           4.21           
8         9         2007      9.41           30.42          0.00           4.99           
9         9         2007      9.02           15.65          1.27           1.67           
10        9         2007      5.47           19.01          3.30           2.09           
11        9         2007      3.37           27.27          0.00           4.00           
12        9         2007      5.01           32.98          0.00           5.72           
13        9         2007      9.41           20.57          0.00           3.41           
14        9         2007      5.87           17.10          0.00           2.51           
15        9         2007      9.61           29.70          0.00           5.17           
16        9         2007      8.16           33.44          4.06           4.17           
17        9         2007      11.98          28.00          0.00           3.31           
18        9         2007      10.34          26.94          0.00           4.14           
19        9         2007      6.53           20.79          0.00           1.24           
20        9         2007      16.91          36.20          0.00           7.29           
21        9         2007      6.59           25.03          0.00           3.98           
22        9         2007      5.34           30.43          0.00           4.26           
23        9         2007      15.18          33.77          3.56           6.69           
24        9         2007      9.15           23.21          0.25           2.93           
25        9         2007      3.56           20.90          0.00           2.96           
26        9         2007      1.33           24.45          0.00           3.60           
27        9         2007      1.66           26.02          0.00           3.88           
28        9         2007      4.29           32.87          0.00           5.98           
29        9         2007      15.97          31.03          4.32           5.91           
30        9         2007      3.16           20.78          0.00           3.00           
1         10        2007      1.79           26.17          0.00           3.78           
2         10        2007      1.06           20.05          0.00           4.16           
3         10        2007      0.87           30.37          0.00           5.65           
4         10        2007      3.03           25.49          0.00           2.89           
5         10        2007      9.94           34.63          0.00           5.75           
6         10        2007      12.03          34.36          0.00           8.39           
7         10        2007      3.03           18.88          0.00           2.82           
8         10        2007      -2.29          24.38          0.00           3.56           
9         10        2007      -1.51          29.05          0.00           3.98           
10        10        2007      6.59           20.91          0.00           3.07           
11        10        2007      3.43           24.57          0.00           2.85           
12        10        2007      10.21          13.16          0.00           0.55           
13        10        2007      10.14          12.51          1.02           0.04           
14        10        2007      5.01           10.40          3.56           0.41           
15        10        2007      0.73           8.62           0.76           0.72           
16        10        2007      -3.28          19.01          0.00           1.81           
17        10        2007      2.44           14.95          0.00           1.15           
18        10        2007      1.65           15.47          0.00           3.64           
19        10        2007      -1.51          25.64          0.00           4.45           
20        10        2007      0.14           31.01          0.00           5.04           
21        10        2007      1.06           9.74           1.27           1.86           
22        10        2007      -3.29          14.21          0.00           2.60           
23        10        2007      -1.30          22.48          0.00           4.05           
24        10        2007      0.21           23.07          0.00           2.58           
25        10        2007      -1.38          25.56          0.00           3.23           
26        10        2007      -3.02          14.73          0.00           1.97           
27        10        2007      -3.88          11.05          0.00           1.76           
28        10        2007      -5.53          20.45          0.00           2.33           
29        10        2007      -3.74          28.13          0.00           3.76           
30        10        2007      0.21           28.26          0.00           3.66           
31        10        2007      -6.84          12.04          0.00           2.15           
1         11        2007      -6.44          18.15          0.00           2.75           
2         11        2007      -6.31          12.30          0.00           2.28           
3         11        2007      -6.70          19.92          0.00           3.32           
4         11        2007      -5.79          26.62          0.00           4.57           
5         11        2007      -10.07         9.73           0.00           1.77           
6         11        2007      -11.12         10.79          0.00           1.76           
7         11        2007      -10.01         23.73          0.00           3.89           
8         11        2007      -6.85          23.86          0.00           3.64           
9         11        2007      -4.14          19.07          0.00           2.27           
10        11        2007      -0.79          25.18          0.00           2.61           
11        11        2007      -2.04          21.30          0.00           2.72           
12        11        2007      -0.33          9.41           0.00           1.37           
13        11        2007      -3.88          25.91          0.00           3.57           
14        11        2007      -9.69          8.56           0.00           2.87           
15        11        2007      -13.04         15.00          0.00           2.64           
16        11        2007      -3.16          21.36          0.00           3.42           
17        11        2007      -2.23          19.67          0.00           2.17           
18        11        2007      0.80           23.87          0.00           3.13           
19        11        2007      -1.31          28.26          0.00           4.02           
20        11        2007      -2.63          5.79           0.00           1.81           
21        11        2007      -11.53         -1.71          0.00           0.50           
22        11        2007      -14.76         -0.27          0.00           0.49           
23        11        2007      -15.15         0.21           0.00           0.34           
24        11        2007      -14.89         4.35           0.00           0.63           
25        11        2007      -14.49         12.23          0.00           1.43           
26        11        2007      -11.13         6.38           0.00           0.66           
27        11        2007      -9.02          14.87          0.00           1.84           
28        11        2007      -12.91         5.39           0.00           1.59           
29        11        2007      -12.25         8.75           0.00           1.29           
30        11        2007      -15.48         -3.69          0.00           0.59           
1         12        2007      -6.05          0.54           0.00           0.21           
2         12        2007      -13.30         6.25           0.00           1.19           
3         12        2007      -12.97         19.86          0.00           2.79           
4         12        2007      -3.16          19.43          0.00           3.15           
5         12        2007      -3.69          6.72           0.00           0.58           
6         12        2007      -8.23          5.79           0.00           0.60           
7         12        2007      -4.93          -2.17          7.42           0.08           
8         12        2007      -11.46         -4.67          3.41           0.18           
9         12        2007      -21.62         -9.03          5.53           0.18           
10        12        2007      -22.41         -4.07          5.73           0.20           
11        12        2007      -15.03         -4.01          0.00           0.18           
12        12        2007      -21.49         -3.56          0.00           0.24           
13        12        2007      -13.84         -0.60          0.00           0.46           
14        12        2007      -10.27         -5.26          0.00           0.27           
15        12        2007      -20.90         -5.41          0.00           0.33           
16        12        2007      -16.07         1.98           0.00           0.55           
17        12        2007      -18.98         -1.85          0.00           0.30           
18        12        2007      -11.59         5.52           0.00           0.68           
19        12        2007      -12.38         3.30           0.00           0.44           
20        12        2007      -12.97         4.73           0.00           0.50           
21        12        2007      -12.19         3.11           0.00           0.53           
22        12        2007      -15.48         -3.89          0.00           0.57           
23        12        2007      -14.23         2.50           0.00           0.79           
24        12        2007      -11.86         3.76           2.62           0.60           
25        12        2007      -8.56          0.47           0.00           0.25           
26        12        2007      -18.91         -4.35          0.00           0.25           
27        12        2007      -19.04         -5.72          0.00           0.20           
28        12        2007      -22.55         -6.59          0.00           0.26           
29        12        2007      -25.25         -3.62          0.00           0.43           
30        12        2007      -12.18         2.12           0.00           0.80           
31        12        2007      -12.25         -2.77          0.00           0.77           
1         1         2008      -17.59         -4.02          0.00           0.60           
2         1         2008      -24.06         -3.56          0.00           0.39           
3         1         2008      -18.25         3.09           0.00           0.46           
4         1         2008      -10.34         8.55           0.00           0.71           
5         1         2008      -8.42          7.37           0.00           0.70           
6         1         2008      -6.45          5.59           0.00           0.62           
7         1         2008      -7.57          2.50           0.00           0.83           
8         1         2008      -9.81          2.11           0.00           0.75           
9         1         2008      -8.29          4.95           0.00           0.55           
10        1         2008      -8.16          3.03           0.00           0.77           
11        1         2008      -6.12          5.13           0.00           0.86           
12        1         2008      -7.83          3.69           0.00           0.67           
13        1         2008      -8.75          4.40           0.00           0.78           
14        1         2008      -7.56          6.84           0.00           0.95           
15        1         2008      -10.60         5.14           0.00           0.72           
16        1         2008      -15.62         -1.71          0.00           0.75           
17        1         2008      -18.52         -0.98          0.00           0.73           
18        1         2008      -16.67         -2.30          0.00           0.66           
19        1         2008      -16.34         -2.04          0.00           0.48           
20        1         2008      -15.02         -10.21         0.00           0.20           
21        1         2008      -20.04         -10.80         0.00           0.27           
22        1         2008      -23.73         -3.56          0.00           0.55           
23        1         2008      -18.98         -3.42          0.00           0.66           
24        1         2008      -20.76         3.96           0.00           0.87           
25        1         2008      -14.29         9.35           0.00           1.45           
26        1         2008      -7.57          10.78          0.00           1.78           
27        1         2008      -11.07         11.71          0.00           1.12           
28        1         2008      -7.84          16.41          0.00           2.01           
29        1         2008      -12.71         1.18           0.00           1.27           
30        1         2008      -16.01         -2.90          0.00           0.54           
31        1         2008      -15.41         3.42           0.00           1.25           
1         2         2008      -12.91         9.88           0.00           1.65           
2         2         2008      -10.21         5.99           0.00           1.55           
3         2         2008      -11.33         5.59           0.00           0.98           
4         2         2008      -7.31          2.84           3.77           0.40           
5         2         2008      -19.57         -4.80          0.00           0.32           
6         2         2008      -21.02         2.11           0.00           0.76           
7         2         2008      -11.99         2.39           0.00           1.19           
8         2         2008      -4.80          4.86           0.00           1.74           
9         2         2008      -10.73         11.45          0.00           1.83           
10        2         2008      -14.43         -3.94          0.00           0.61           
11        2         2008      -9.81          9.98           0.00           1.68           
12        2         2008      -12.31         7.04           0.00           1.24           
13        2         2008      -7.44          15.20          0.00           2.35           
14        2         2008      -12.91         1.33           0.00           0.77           
15        2         2008      -13.57         6.51           0.00           1.07           
16        2         2008      -11.06         15.00          0.00           2.09           
17        2         2008      -6.38          1.98           0.00           1.52           
18        2         2008      -8.30          3.36           0.00           1.28           
19        2         2008      -7.23          15.85          0.00           3.07           
20        2         2008      -10.67         -2.83          0.00           0.88           
21        2         2008      -11.79         4.67           0.00           1.26           
22        2         2008      -12.84         13.75          0.00           1.80           
23        2         2008      -8.82          9.82           0.00           1.17           
24        2         2008      -8.69          16.13          0.00           2.16           
25        2         2008      -7.63          10.50          0.00           1.62           
26        2         2008      -7.70          6.97           0.00           2.05           
27        2         2008      -6.98          12.56          0.00           2.14           
28        2         2008      -5.72          14.61          0.00           2.44           
29        2         2008      -0.98          16.37          0.00           2.48           
1         3         2008      -5.20          26.75          0.00           4.77           
2         3         2008      -3.94          11.67          0.00           1.69           
3         3         2008      -8.22          6.58           0.00           1.61           
4         3         2008      -6.58          11.00          0.00           1.56           
5         3         2008      -13.57         3.16           0.00           1.49           
6         3         2008      -13.10         7.24           0.00           2.02           
7         3         2008      -10.54         1.71           0.00           1.40           
8         3         2008      -7.51          12.23          0.00           2.65           
9         3         2008      -10.27         11.71          0.00           2.40           
10        3         2008      -11.59         15.51          0.00           2.61           
11        3         2008      -7.30          20.51          0.00           3.99           
12        3         2008      -0.98          16.44          0.00           4.07           
13        3         2008      -5.13          17.16          0.00           3.74           
14        3         2008      -5.99          11.18          0.00           2.51           
15        3         2008      -6.18          9.61           0.00           2.28           
16        3         2008      -3.61          0.87           12.47          0.29           
17        3         2008      -4.93          1.18           0.00           0.83           
18        3         2008      -5.00          11.77          0.00           2.41           
19        3         2008      -6.51          16.32          0.00           3.22           
20        3         2008      -5.00          20.19          0.00           3.72           
21        3         2008      -5.46          14.67          0.00           2.60           
22        3         2008      -12.06         5.74           0.00           1.32           
23        3         2008      -12.44         10.26          0.00           2.30           
24        3         2008      -9.41          23.40          0.00           5.54           
25        3         2008      -3.16          14.13          0.00           3.43           
26        3         2008      -7.83          18.74          0.00           3.76           
27        3         2008      -0.19          9.68           0.00           1.58           
28        3         2008      -2.24          11.71          0.00           3.29           
29        3         2008      -0.06          20.72          0.00           4.00           
30        3         2008      -2.17          4.35           0.00           1.53           
31        3         2008      -2.69          5.79           0.25           1.57           
1         4         2008      -5.20          8.09           0.00           2.76           
2         4         2008      -6.58          15.51          0.00           3.29           
3         4         2008      -5.72          6.53           0.76           0.54           
4         4         2008      -5.92          16.52          0.00           3.42           
5         4         2008      -2.57          21.05          0.00           4.63           
6         4         2008      -0.07          13.69          0.00           4.89           
7         4         2008      -1.12          3.82           0.00           0.95           
8         4         2008      -1.18          14.93          0.00           2.91           
9         4         2008      0.14           5.80           3.05           0.66           
10        4         2008      -0.98          3.29           13.21          0.52           
11        4         2008      -0.92          5.28           0.76           1.12           
12        4         2008      -1.83          9.08           0.00           2.15           
13        4         2008      -2.88          12.17          0.00           3.34           
14        4         2008      -5.20          24.26          0.00           5.48           
15        4         2008      -2.23          31.87          0.00           8.79           
16        4         2008      3.36           15.14          2.54           4.25           
17        4         2008      -1.31          10.27          4.06           1.55           
18        4         2008      -6.12          18.61          0.00           3.79           
19        4         2008      -2.62          27.42          0.00           6.77           
20        4         2008      1.12           29.25          0.00           7.59           
21        4         2008      1.38           15.59          0.00           4.89           
22        4         2008      -5.59          20.33          0.00           4.72           
23        4         2008      2.52           22.81          0.00           3.76           
24        4         2008      2.24           25.31          25.91          4.72           
25        4         2008      1.92           13.88          0.25           3.32           
26        4         2008      -1.78          8.95           1.27           1.98           
27        4         2008      -4.08          16.58          0.00           4.13           
28        4         2008      -3.41          20.39          0.00           4.29           
29        4         2008      -0.12          23.08          0.00           4.61           
30        4         2008      2.18           26.82          0.00           5.69           
1         5         2008      4.09           13.04          1.78           2.18           
2         5         2008      -2.10          4.22           3.30           0.45           
3         5         2008      -4.47          12.17          0.00           3.30           
4         5         2008      -1.38          21.30          0.00           4.57           
5         5         2008      6.46           23.54          0.00           4.72           
6         5         2008      7.71           29.25          0.00           5.20           
7         5         2008      6.59           20.91          0.00           4.52           
8         5         2008      4.22           18.61          14.73          2.13           
9         5         2008      4.48           19.21          8.13           3.23           
10        5         2008      -0.19          11.92          1.02           1.78           
11        5         2008      -3.35          24.06          0.00           5.80           
12        5         2008      2.70           24.86          0.00           5.69           
13        5         2008      1.79           15.66          0.00           3.25           
14        5         2008      -1.77          21.18          0.00           4.14           
15        5         2008      5.46           18.63          0.51           3.60           
16        5         2008      3.16           25.78          0.00           5.60           
17        5         2008      7.83           26.11          0.00           7.07           
18        5         2008      5.80           31.95          0.00           7.97           
19        5         2008      10.47          29.25          0.00           6.60           
20        5         2008      9.94           25.84          0.00           5.12           
21        5         2008      9.88           27.03          4.83           5.78           
22        5         2008      10.60          18.24          3.30           0.78           
23        5         2008      9.08           17.95          4.32           1.68           
24        5         2008      9.02           25.38          0.00           5.86           
25        5         2008      6.07           26.76          0.00           6.08           
26        5         2008      6.25           16.19          0.00           2.09           
27        5         2008      5.34           11.45          7.11           1.00           
28        5         2008      6.13           14.28          0.25           0.79           
29        5         2008      11.33          28.72          0.00           5.59           
30        5         2008      9.28           27.62          0.25           6.53           
31        5         2008      14.21          27.08          2.03           4.92           
1         6         2008      10.67          27.15          0.00           5.43           
2         6         2008      13.88          22.89          0.00           1.91           
3         6         2008      13.49          28.92          2.79           5.36           
4         6         2008      10.80          23.67          20.57          2.73           
5         6         2008      9.61           19.28          31.50          1.91           
6         6         2008      7.45           27.29          0.00           5.95           
7         6         2008      11.92          25.05          0.00           6.02           
8         6         2008      9.88           22.56          0.00           4.98           
9         6         2008      6.20           24.85          0.00           6.04           
10        6         2008      8.49           32.73          0.00           8.81           
11        6         2008      6.53           22.43          0.00           5.81           
12        6         2008      4.29           25.58          0.00           6.25           
13        6         2008      5.67           26.37          0.00           7.11           
14        6         2008      9.61           32.07          0.00           8.15           
15        6         2008      10.01          27.80          0.00           7.11           
16        6         2008      11.06          20.85          18.28          3.15           
17        6         2008      12.31          26.16          0.00           3.94           
18        6         2008      13.30          32.14          0.00           5.78           
19        6         2008      14.61          25.70          0.00           3.98           
20        6         2008      10.93          26.35          14.99          3.79           
21        6         2008      11.79          29.38          0.00           5.60           
22        6         2008      12.12          29.97          2.54           5.76           
23        6         2008      14.01          27.10          0.51           4.72           
24        6         2008      12.84          29.71          0.00           5.80           
25        6         2008      14.08          32.85          2.03           5.39           
26        6         2008      15.73          33.84          14.99          6.88           
27        6         2008      12.96          27.61          0.00           5.15           
28        6         2008      10.21          26.44          0.00           5.80           
29        6         2008      8.69           27.73          0.00           5.58           
30        6         2008      10.07          30.37          0.00           6.35           
1         7         2008      12.19          35.81          0.00           6.17           
2         7         2008      13.75          28.92          4.32           5.38           
3         7         2008      13.23          24.66          0.00           4.52           
4         7         2008      12.84          33.18          0.00           6.58           
5         7         2008      14.08          37.85          0.51           7.77           
6         7         2008      17.38          28.85          1.78           4.29           
7         7         2008      16.06          30.17          0.51           4.04           
8         7         2008      13.03          30.24          10.41          5.47           
9         7         2008      13.16          30.37          0.00           5.67           
10        7         2008      13.62          34.69          0.00           6.90           
11        7         2008      15.33          36.27          0.00           7.97           
12        7         2008      10.73          25.51          0.00           5.50           
13        7         2008      9.23           32.86          0.00           7.42           
14        7         2008      12.51          37.79          0.00           7.37           
15        7         2008      17.82          36.60          0.00           7.49           
16        7         2008      15.93          35.28          0.00           6.79           
17        7         2008      16.32          31.67          5.84           4.31           
18        7         2008      16.39          28.19          0.00           4.16           
19        7         2008      15.73          35.35          0.00           6.35           
20        7         2008      14.08          38.38          0.00           7.45           
21        7         2008      14.61          35.81          0.00           6.49           
22        7         2008      18.94          34.37          0.00           6.18           
23        7         2008      19.67          38.83          0.51           7.34           
24        7         2008      18.35          35.15          0.00           6.10           
25        7         2008      16.65          32.98          3.56           5.98           
26        7         2008      16.44          33.37          1.78           5.90           
27        7         2008      16.45          38.04          0.00           5.58           
28        7         2008      17.21          35.36          9.91           5.20           
29        7         2008      16.39          30.48          0.00           4.78           
30        7         2008      13.75          34.82          0.00           6.44           
31        7         2008      16.05          32.72          0.00           6.50           
1         8         2008      16.59          35.88          0.00           6.24           
2         8         2008      14.67          41.52          0.00           9.42           
3         8         2008      15.40          37.45          0.00           7.92           
4         8         2008      16.78          34.36          0.00           5.65           
5         8         2008      15.86          29.18          0.76           5.50           
6         8         2008      16.46          27.80          15.49          4.16           
7         8         2008      15.73          26.29          2.79           3.13           
8         8         2008      15.47          24.53          1.78           1.69           
9         8         2008      17.69          26.61          1.02           2.69           
10        8         2008      18.28          27.27          0.00           3.44           
11        8         2008      15.00          29.44          0.25           3.98           
12        8         2008      12.25          31.61          0.00           5.57           
13        8         2008      14.81          30.95          0.00           6.25           
14        8         2008      11.72          25.63          0.00           3.74           
15        8         2008      13.09          21.84          66.29          1.60           
16        8         2008      13.42          23.54          5.33           3.04           
17        8         2008      13.36          20.92          1.78           1.47           
18        8         2008      11.79          25.11          0.00           3.35           
19        8         2008      10.73          26.16          0.00           4.46           
20        8         2008      12.90          26.16          0.00           4.24           
21        8         2008      13.23          31.74          0.00           5.02           
22        8         2008      13.03          27.34          0.00           4.96           
23        8         2008      14.61          23.67          0.00           4.00           
24        8         2008      15.20          29.25          0.00           4.28           
25        8         2008      17.37          29.25          0.00           4.00           
26        8         2008      17.63          31.07          0.00           4.89           
27        8         2008      15.93          27.67          0.00           4.35           
28        8         2008      9.48           26.15          0.00           4.82           
29        8         2008      7.32           28.98          0.00           5.09           
30        8         2008      12.83          30.96          0.00           5.53           
31        8         2008      16.46          31.61          0.00           6.92           
1         9         2008      17.36          32.00          0.00           6.90           
2         9         2008      7.52           20.98          0.00           4.51           
3         9         2008      3.18           20.11          0.00           3.61           
4         9         2008      2.78           23.98          2.03           3.66           
5         9         2008      9.15           18.41          8.89           1.96           
6         9         2008      6.46           19.67          11.18          2.14           
7         9         2008      6.66           20.90          1.02           2.98           
8         9         2008      6.53           14.01          3.05           1.59           
9         9         2008      9.35           17.38          0.00           1.57           
10        9         2008      10.73          28.79          0.00           4.05           
11        9         2008      12.96          19.60          0.25           2.14           
12        9         2008      9.15           14.61          15.49          0.43           
13        9         2008      6.07           24.00          0.00           3.85           
14        9         2008      2.98           18.35          0.00           3.41           
15        9         2008      1.13           24.31          0.00           3.29           
16        9         2008      3.50           28.06          0.00           3.71           
17        9         2008      5.67           26.74          0.00           3.63           
18        9         2008      6.07           27.60          0.00           3.93           
19        9         2008      6.07           27.47          0.00           3.62           
20        9         2008      6.92           27.47          0.00           4.05           
21        9         2008      13.29          27.67          0.00           4.10           
22        9         2008      11.86          31.68          0.00           5.40           
23        9         2008      7.37           24.97          0.00           3.82           
24        9         2008      5.80           26.94          0.00           3.32           
25        9         2008      9.41           29.97          0.00           3.98           
26        9         2008      5.87           32.45          0.00           4.28           
27        9         2008      10.40          24.46          0.00           2.97           
28        9         2008      7.83           31.67          0.00           4.84           
29        9         2008      4.22           21.23          0.00           3.09           
30        9         2008      1.59           26.28          0.00           3.37           
1         10        2008      3.24           24.77          0.00           3.06           
2         10        2008      1.26           26.35          0.00           3.44           
3         10        2008      6.99           24.92          0.00           3.12           
4         10        2008      9.02           22.37          0.00           2.40           
5         10        2008      10.93          22.57          0.00           3.26           
6         10        2008      3.56           20.19          0.00           2.18           
7         10        2008      0.01           21.89          0.00           2.89           
8         10        2008      4.56           21.82          0.00           3.43           
9         10        2008      1.92           20.26          0.00           3.11           
10        10        2008      4.15           15.97          0.00           2.17           
11        10        2008      4.02           15.55          26.42          0.68           
12        10        2008      3.69           17.11          14.99          0.26           
13        10        2008      -1.37          14.54          0.00           2.11           
14        10        2008      -2.29          8.49           0.00           0.53           
15        10        2008      -0.78          13.42          0.00           1.66           
16        10        2008      -0.52          19.01          0.00           1.94           
17        10        2008      0.67           20.64          0.00           2.35           
18        10        2008      0.01           27.34          0.00           2.69           
19        10        2008      3.16           24.72          0.00           3.63           
20        10        2008      3.63           13.49          0.00           1.62           
21        10        2008      4.75           18.22          13.72          1.31           
22        10        2008      3.49           6.86           0.25           2.37           
23        10        2008      -0.72          3.76           2.79           0.24           
24        10        2008      -3.15          12.30          0.00           1.27           
25        10        2008      -1.97          22.22          0.00           3.42           
26        10        2008      -5.79          7.57           0.00           1.96           
27        10        2008      -8.36          11.31          0.00           1.58           
28        10        2008      -6.12          20.51          0.00           1.71           
29        10        2008      -4.21          22.81          0.00           2.37           
30        10        2008      0.60           23.60          0.00           3.10           
31        10        2008      -1.64          23.47          0.00           2.39           
1         11        2008      -2.42          25.96          0.00           2.24           
2         11        2008      -1.44          25.32          0.00           2.36           
3         11        2008      0.40           19.73          0.00           2.17           
4         11        2008      -0.32          18.04          0.00           1.37           
5         11        2008      1.20           9.88           0.00           1.66           
6         11        2008      0.54           4.29           0.00           1.69           
7         11        2008      0.34           10.47          0.00           2.78           
8         11        2008      -2.63          11.18          0.00           1.33           
9         11        2008      -6.25          9.94           8.90           1.47           
10        11        2008      -3.35          1.99           10.79          0.45           
11        11        2008      -4.73          3.16           0.00           0.43           
12        11        2008      -6.64          9.46           0.00           0.89           
13        11        2008      0.93           12.25          0.00           1.15           
14        11        2008      -4.34          5.34           0.00           1.37           
15        11        2008      -6.84          8.09           0.00           1.49           
16        11        2008      -0.46          17.43          0.00           1.89           
17        11        2008      -6.84          10.39          0.00           0.85           
18        11        2008      -6.12          26.24          0.00           2.62           
19        11        2008      -1.25          18.15          0.00           2.32           
20        11        2008      -12.64         0.86           0.00           0.76           
21        11        2008      -12.51         6.12           0.00           0.97           
22        11        2008      -7.50          15.00          0.00           1.89           
23        11        2008      -7.83          10.00          0.00           1.34           
24        11        2008      -7.24          13.36          0.00           1.50           
25        11        2008      -6.71          14.74          0.00           2.00           
26        11        2008      -9.74          17.03          0.00           1.71           
27        11        2008      -3.15          4.35           0.00           1.15           
28        11        2008      -5.39          1.98           0.00           0.31           
29        11        2008      -6.91          6.66           0.00           1.67           
30        11        2008      -3.41          5.67           0.00           1.86           
1         12        2008      -8.89          6.51           0.00           0.97           
2         12        2008      -1.45          19.36          0.00           2.53           
3         12        2008      -9.81          -0.79          0.00           0.84           
4         12        2008      -16.20         -4.72          0.00           0.33           
5         12        2008      -15.54         4.62           0.00           0.87           
